Date/Time,BASEMENT:Zone Mean Air Temperature [C](TimeStep),CORE_BOTTOM:Zone Mean Air Temperature [C](TimeStep),CORE_MID:Zone Mean Air Temperature [C](TimeStep),CORE_TOP:Zone Mean Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_4:Zone Mean Air Temperature [C](TimeStep),PERIMETER_MID_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_MID_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_MID_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_MID_ZN_4:Zone Mean Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](TimeStep),GROUNDFLOOR_PLENUM:Zone Mean Air Temperature [C](TimeStep),MIDFLOOR_PLENUM:Zone Mean Air Temperature [C](TimeStep),TOPFLOOR_PLENUM:Zone Mean Air Temperature [C](TimeStep),DATACENTER_BOT_ZN_6:Zone Mean Air Temperature [C](TimeStep),DATACENTER_MID_ZN_6:Zone Mean Air Temperature [C](TimeStep),DATACENTER_TOP_ZN_6:Zone Mean Air Temperature [C](TimeStep),DATACENTER_BASEMENT_ZN_6:Zone Mean Air Temperature [C](TimeStep),BASEMENT:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),BASEMENT:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),CORE_BOTTOM:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),CORE_BOTTOM:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),CORE_MID:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),CORE_MID:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),CORE_TOP:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),CORE_TOP:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_BOT_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_BOT_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_BOT_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_BOT_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_BOT_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_BOT_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_BOT_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_BOT_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_MID_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_MID_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_MID_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_MID_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_MID_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_MID_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_MID_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_MID_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_TOP_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_TOP_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_TOP_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_TOP_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_TOP_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_TOP_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_TOP_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_TOP_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),GROUNDFLOOR_PLENUM:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),GROUNDFLOOR_PLENUM:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),MIDFLOOR_PLENUM:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),MIDFLOOR_PLENUM:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),TOPFLOOR_PLENUM:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),TOPFLOOR_PLENUM:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),DATACENTER_BOT_ZN_6:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),DATACENTER_BOT_ZN_6:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),DATACENTER_MID_ZN_6:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),DATACENTER_MID_ZN_6:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),DATACENTER_TOP_ZN_6:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),DATACENTER_TOP_ZN_6:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),DATACENTER_BASEMENT_ZN_6:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),DATACENTER_BASEMENT_ZN_6:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep) 
 08/01  00:01:00,25.976812184931487,23.84871526762935,26.107866589873756,26.034627201497515,24.255103598711359,23.075265009137639,24.275636187463996,24.569991982264143,25.824401858549309,25.946799428318778,26.026356460802878,26.683772286093104,25.6576373994489,25.78519047798906,25.853460120884443,26.486012469686619,25.05722461462896,25.843226090706496,25.178223601784035,26.9999999999999,27.000000000000008,26.99999999999996,27.152419343384979,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,924016.9006388057 
 08/01  00:02:00,25.977033361941037,24.03674689986618,26.1093999250705,26.03544339527939,24.41688316550729,23.3458425436682,24.4603172577887,24.933584946212674,25.822240595088816,25.94475993401071,26.024416221450353,26.68222657053226,25.655197472649616,25.782809870522518,25.851174433130205,26.48410369313921,25.103386945501009,25.84337000544726,25.17716612630849,27.00000000000003,26.999999999999923,27.000000000000094,27.043069893746187,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,906036.622103607 
 08/01  00:03:00,25.977071408753966,24.229201848136129,26.110935511764177,26.036255174308136,24.57883137330518,23.61221507090335,24.64444173402363,25.288208504406865,25.82010559552298,25.94271135015037,26.0224802684429,26.68069023285985,25.652774447118018,25.78041630226162,25.848871414625678,26.482177970009848,25.152290064428607,25.843494003529629,25.17606221976254,26.99999999999992,26.999999999999905,26.999999999999856,27.12735691180038,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,914681.7853626174 
 08/01  00:04:00,25.977096673046213,24.399656701646177,26.112472304635089,26.03706184914388,24.718172094750896,23.836806958041249,24.802170889135807,25.584719832532455,25.817992023618286,25.94065665011633,26.02054670803097,26.679159302188194,25.650364816571896,25.778010153943656,25.846551299505717,26.480234140926905,25.196365388432239,25.843598892733064,25.174914868506776,27.000000000000037,27.000000000000033,27.000000000000079,27.034773978658398,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,911204.6624091151 
 08/01  00:05:00,25.977183260454618,24.54507848625699,26.1140095786476,26.037863027995188,24.83327020374302,24.01829876459325,24.931860766819509,25.822735458312928,25.815896994428507,25.938598698081866,26.018614907841966,26.677632400623677,25.647967448854936,25.775593367793716,25.844215906586954,26.478273892813193,25.234471390735846,25.843686260436806,25.173727885499177,27.000000000000055,27.00000000000005,26.999999999999984,27.12515686796118,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,916608.5280485156 
 08/01  00:06:00,25.977341139259367,24.670160839931464,26.11554688801106,26.038658501181805,24.929195421702749,24.166466847177408,25.03947240272554,26.016322610915393,25.81381912689093,25.936539708978747,26.016685121155409,26.67610973171469,25.645582494815988,25.77316835390673,25.841867513921977,26.47629994385237,25.26770639578002,25.843757530829796,25.172504978817807,26.99999999999993,27.000000000000058,27.000000000000097,27.15258630171323,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,919863.2413883868 
 08/01  00:07:00,25.977558040973645,24.77979155606246,26.117084009308159,26.03944820897587,25.010930108843608,24.290417743137966,25.130808690898119,26.17819097599869,25.811757729662238,25.934481411267269,26.014758044699098,26.67459211143145,25.643210586504563,25.77073760133696,25.8395084709485,26.474315107850218,25.29731099463825,25.843813830766967,25.171249685608058,26.999999999999909,27.000000000000058,27.000000000000119,27.04326880450037,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,901820.21326774 
 08/01  00:08:00,25.97781947930517,24.877479891308786,26.11862068960117,26.040231742830995,25.081940694986917,24.396354384299696,25.20989542230593,26.317013990512146,25.809712508186516,25.93242517325273,26.012834529011138,26.673080934840657,25.64085257937655,25.768303223050748,25.837140878235826,26.47232226059868,25.324128655537757,25.84385606422943,25.16996524427077,27.00000000000003,26.999999999999927,26.999999999999866,27.127633571022149,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,910435.0697055017 
 08/01  00:09:00,25.978115214470617,24.965444284166435,26.120156746344195,26.041008783039673,25.14439996178157,24.488149825601974,25.27924708654005,26.437955607581328,25.807683139641659,25.930372117102114,26.01091539877755,26.671577514945786,25.63850926484761,25.76586712934046,25.834766672366773,26.47032396064109,25.348665202991137,25.843885009854195,25.168654841896577,27.000000000000055,27.000000000000033,26.999999999999948,27.03500268411501,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,907076.2994949704 
 08/01  00:10:00,25.978438824155366,25.0451377921816,26.121691999650936,26.041779206132789,25.200254573399066,24.56829074897722,25.340493640901145,26.544408289824128,25.806212423947714,25.928323043753644,26.009001217282795,26.67008256436675,25.63677286018845,25.76343093611637,25.832387491652356,26.468322097046945,25.37124713024821,25.843901368520119,25.167321729561395,27.000000000000055,27.00000000000005,26.99999999999996,27.12546767153608,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,912419.2796945353 
 08/01  00:11:00,25.978786038457004,25.117661611708106,26.123226344308848,26.042543082007929,25.25026089869601,24.63860242881119,25.39482399937263,26.637767240054026,25.8050305549577,25.926278478041217,26.007092372902386,26.66859650534956,25.635351157245969,25.760996193991823,25.830004768728676,26.466318159442829,25.39212243579734,25.843905773921436,25.165969076267769,27.000000000000055,26.99999999999993,26.99999999999983,27.152754693157186,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,915721.5803844621 
 08/01  00:12:00,25.979153574068627,25.183955218330227,26.124759655551857,26.043300516259749,25.29504315643121,24.70056585088718,25.443217079615704,26.719552720030266,25.803884053226754,25.924238706578433,26.005189100015025,26.66711954090164,25.633953907718998,25.758564332802608,25.827619714795238,26.46431333395928,25.411496524030367,25.843898767142727,25.164600107643698,27.000000000000058,27.000000000000037,26.999999999999809,27.043460915502825,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,897616.0583076652 
 08/01  00:13:00,25.979538601940978,25.24481957896993,26.126291867165138,26.044051682719937,25.33527424853031,24.755424712070945,25.486511687493388,26.791365717336693,25.802673594974448,25.92220391672039,26.003291632695345,26.66565184871077,25.632466168594914,25.756136740655845,25.825233510164766,26.462308729342849,25.42953914775635,25.843880662582916,25.163218063571234,27.000000000000058,27.000000000000058,27.000000000000065,27.127902412176565,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,18.0,27.0,18.0,27.0,18.0,27.0,906200.7433595643 
